слово,категорія
доброго дня,привітання
доброго ранку,привітання
привіт,привітання
доброго дня,привітання
з новим днем,привітання
доброго ранку,привітання
шалом,привітання
шалом,привітання
шалом,привітання
салют,привітання
добрий вечір,привітання
вітаю,привітання
доброго дня,привітання
з новим днем,привітання
вітаю,привітання
з новим днем,привітання
салют,привітання
шалом,привітання
добрий вечір,привітання
привіт,привітання
доброго ранку,привітання
добрий вечір,привітання
здрастуйте,привітання
вітаю,привітання
привіт,привітання
шалом,привітання
радий бачити,привітання
радий бачити,привітання
вітаю,привітання
з новим днем,привітання
привіт,привітання
привіт,привітання
салют,привітання
шалом,привітання
вітаю,привітання
здрастуйте,привітання
добрий вечір,привітання
салют,привітання
здрастуйте,привітання
салют,привітання
вітаю,привітання
шалом,привітання
шалом,привітання
доброго ранку,привітання
здрастуйте,привітання
вітаю,привітання
доброго дня,привітання
салют,привітання
шалом,привітання
здрастуйте,привітання
привіт,привітання
здрастуйте,привітання
доброго дня,привітання
шалом,привітання
добрий вечір,привітання
здрастуйте,привітання
доброго ранку,привітання
шалом,привітання
доброго дня,привітання
вітаю,привітання
привіт,привітання
шалом,привітання
привіт,привітання
привіт,привітання
доброго дня,привітання
вітаю,привітання
салют,привітання
доброго дня,привітання
привіт,привітання
салют,привітання
салют,привітання
привіт,привітання
доброго дня,привітання
здрастуйте,привітання
радий бачити,привітання
шалом,привітання
шалом,привітання
шалом,привітання
добрий вечір,привітання
вітаю,привітання
вітаю,привітання
привіт,привітання
добрий вечір,привітання
з новим днем,привітання
добрий вечір,привітання
привіт,привітання
доброго ранку,привітання
вітаю,привітання
радий бачити,привітання
доброго ранку,привітання
салют,привітання
привіт,привітання
здрастуйте,привітання
здрастуйте,привітання
добрий вечір,привітання
здрастуйте,привітання
з новим днем,привітання
привіт,привітання
доброго дня,привітання
шалом,привітання
шалом,привітання
добрий вечір,привітання
добрий вечір,привітання
салют,привітання
радий бачити,привітання
вітаю,привітання
доброго ранку,привітання
шалом,привітання
добрий вечір,привітання
салют,привітання
радий бачити,привітання
доброго ранку,привітання
добрий вечір,привітання
радий бачити,привітання
з новим днем,привітання
доброго дня,привітання
здрастуйте,привітання
радий бачити,привітання
шалом,привітання
з новим днем,привітання
шалом,привітання
шалом,привітання
доброго ранку,привітання
доброго ранку,привітання
з новим днем,привітання
доброго ранку,привітання
доброго дня,привітання
шалом,привітання
привіт,привітання
добрий вечір,привітання
вітаю,привітання
з новим днем,привітання
добрий вечір,привітання
шалом,привітання
здрастуйте,привітання
з новим днем,привітання
салют,привітання
добрий вечір,привітання
здрастуйте,привітання
привіт,привітання
вітаю,привітання
з новим днем,привітання
радий бачити,привітання
шалом,привітання
салют,привітання
доброго ранку,привітання
з новим днем,привітання
доброго ранку,привітання
здрастуйте,привітання
радий бачити,привітання
доброго дня,привітання
шалом,привітання
добрий вечір,привітання
з новим днем,привітання
доброго ранку,привітання
салют,привітання
радий бачити,привітання
з новим днем,привітання
привіт,привітання
радий бачити,привітання
вітаю,привітання
здрастуйте,привітання
салют,привітання
салют,привітання
доброго дня,привітання
з новим днем,привітання
